start,IATA,PNRs
3/21/19,WAS,5972
3/21/19,SYD,2419
3/21/19,MCO,2010
3/21/19,RDU,2597
3/21/19,PEK,1552
3/21/19,YYZ,4279
3/21/19,IND,1760
3/21/19,LAX,3901
3/21/19,SHA,3370
3/21/19,SFO,5300
3/21/19,EWR,6068
3/21/19,BNA,2375
3/21/19,ATL,6398
3/21/19,CHI,7327
3/21/19,TLS,2445
3/21/19,YUL,2001
3/21/19,PHL,4520
3/21/19,SEA,4659
3/21/19,HOU,5152
3/28/19,CPH,1950
3/28/19,CMH,1642
3/28/19,SIN,2067
3/28/19,LAS,1410
3/28/19,YUL,1831
3/28/19,TLS,1950
3/28/19,RDU,2435
3/28/19,SHA,2957
3/28/19,AMS,2452
3/28/19,PAR,11215
3/28/19,SAT,2307
3/28/19,LON,10696
3/28/19,WAS,6710
3/28/19,CLE,1844
3/28/19,YYZ,4000
3/28/19,IND,1597
3/28/19,SNA,1808
3/28/19,CLT,3404
3/28/19,BOS,7348
3/28/19,MIA,1883
3/28/19,MSP,3068
3/28/19,DEN,3040
3/28/19,STL,2129
3/28/19,SJC,4232
3/28/19,MCO,1982
3/28/19,ATL,4909
3/28/19,MUC,3315
3/28/19,FRA,2584
3/28/19,SYD,2120
3/28/19,AUS,3369
3/28/19,SEA,4108
3/28/19,STO,2126
3/28/19,EWR,5455
3/28/19,HOU,4945
3/28/19,SFO,4911
3/28/19,PEK,1407
3/28/19,BNA,2267
3/28/19,PHX,3531
3/28/19,CHI,8803
3/28/19,MIL,2086
3/28/19,DTW,2965
3/28/19,PIT,1834
3/28/19,LAX,3637
3/28/19,MAD,1801
3/28/19,SAN,2009
3/28/19,MEX,2342
3/28/19,NYC,12667
3/28/19,DFW,7754
3/28/19,PDX,1916
3/28/19,PHL,4108
4/4/19,LAS,2590
4/4/19,MCO,1944
4/4/19,SAN,2253
4/4/19,STO,2472
4/4/19,DEN,3657
4/4/19,SJC,4493
4/4/19,MSP,3587
4/4/19,MEX,2883
4/4/19,ATL,6598
4/4/19,FRA,3184
4/4/19,CPH,2114
4/4/19,IND,1962
4/4/19,CHI,10776
4/4/19,SAT,2454
4/4/19,PAR,10033
4/4/19,SNA,2209
4/4/19,DFW,8023
4/4/19,LON,10361
4/4/19,SYD,2305
4/4/19,SHA,3290
4/4/19,YUL,1953
4/4/19,LAX,4020
4/4/19,SIN,2137
4/4/19,WAS,6854
4/4/19,PHX,3956
4/4/19,MIA,1935
4/4/19,EWR,6432
4/4/19,CMH,1888
4/4/19,AMS,2791
4/4/19,PDX,2539
4/4/19,BNA,2338
4/4/19,PHL,4409
4/4/19,MIL,1505
4/4/19,CLT,4231
4/4/19,BOS,6912
4/4/19,CLE,1745
4/4/19,DTW,3689
4/4/19,NYC,13579
4/4/19,STL,2368
4/4/19,MUC,1753
4/4/19,RDU,2784
4/4/19,MAD,2384
4/4/19,AUS,3458
4/4/19,SFO,5260
4/4/19,PEK,1298
4/4/19,PIT,1894
4/4/19,HOU,4920
4/4/19,YYZ,4748
4/4/19,TLS,2039
4/4/19,SEA,3806
4/11/19,DEN,3189
4/11/19,SNA,1899
4/11/19,WAS,5872
4/11/19,BOS,5448
4/11/19,MEX,1061
4/11/19,YUL,1700
4/11/19,STO,1199
4/11/19,PAR,9026
4/11/19,PEK,1309
4/11/19,TLS,1881
4/11/19,PHL,4112
4/11/19,DTW,3677
4/11/19,CLT,3538
4/11/19,SJC,3868
4/11/19,SAN,2155
4/11/19,LAS,1305
4/11/19,PHX,3606
4/11/19,MAD,494
4/11/19,PDX,2338
4/11/19,HOU,4900
4/11/19,NYC,12160
4/11/19,CLE,1679
4/11/19,MUC,2303
4/11/19,STL,2207
4/11/19,MIA,1720
4/11/19,AMS,2336
4/11/19,EWR,5558
4/11/19,BNA,2848
4/11/19,MIL,2203
4/11/19,CMH,1867
4/11/19,SYD,1706
4/11/19,SIN,1759
4/11/19,SHA,3872
4/11/19,SFO,4768
4/11/19,FRA,2097
4/11/19,IND,2022
4/11/19,LON,7620
4/11/19,PIT,1932
4/11/19,MCO,2041
4/11/19,AUS,2963
4/11/19,CHI,9379
4/11/19,ATL,6933
4/11/19,RDU,2137
4/11/19,MSP,3439
4/11/19,SEA,4259
4/11/19,YYZ,4115
4/11/19,SAT,2478
4/11/19,CPH,738
4/11/19,DFW,7699
4/11/19,LAX,3767
4/18/19,PHX,3331
4/18/19,AMS,1451
4/18/19,NYC,10343
4/18/19,MAD,1134
4/18/19,CPH,1293
4/18/19,ATL,5814
4/18/19,MIA,1628
4/18/19,EWR,5382
4/18/19,DFW,7316
4/18/19,PDX,2222
4/18/19,FRA,1315
4/18/19,MCO,1827
4/18/19,IND,1985
4/18/19,STO,1550
4/18/19,PIT,1780
4/18/19,CMH,1784
4/18/19,DTW,2936
4/18/19,LAX,3713
4/18/19,MUC,1395
4/18/19,DEN,2928
4/18/19,SJC,4371
4/18/19,SYD,289
4/18/19,SNA,1924
4/18/19,SAN,1906
4/18/19,LON,6459
4/18/19,LAS,1168
4/18/19,SAT,2421
4/18/19,SEA,4617
4/18/19,MIL,378
4/18/19,WAS,5831
4/18/19,PEK,1309
4/18/19,BOS,6062
